Location Name,Latitude,Longitude,Page,Section,Context Esp,Context Eng,,Categoria
la comisar¡a de Sabadell,41.541092,2.100651,107/110,4,esta comisar¡a se encarga del caso cuando vuelve en homicidio,This police district is placed in charge of the case now that it is a homicide,Mozos,Investigador
el bosque,41.504312,2.109593,117-119,5,Rosario Hurtado es asaltada por un loco,Rosario H is attacked by a crazy guy,Mozos,Investigador
el bosque,41.504672,2.109233,127,5,el loco asalta a otro polic¡a,The crazy guy attacks another police officer,Mozos,Investigador
la comisar¡a de Sabadell,41.540372,2.100651,130,6,los polic¡as llevan al loco aqu¡,The police take the crazy guy to here,Mozos,Investigador
el hotel Claris,41.394819,2.165076,139,6,Dolors Adrover y Rosa Casasaies las visitan aqui; Josep Llu‡anes y Manuela V zquez se las entrevistan aqui,"Dolors A and Rosa C visit the police here, interviewed by Llucanes and Manuela V",Mozos,Investigador
Hotel Sehrs Campus,41.500465,2.095956,158,7,los polic¡as reunen aqui despu‚s del descubrimiento del cuerpo de Domenica,The police meet here after finding Domenica's body,Mozos,Investigador
el hotel Casa Fuster,41.397976,2.158072,186,8,un hotel cerca de donde Rosa Casasaies vive. Manuela V zquez y ella reunen aqu¡,A hotel near where Rosa C lives.  Manuela V meets her here,Mozos,Investigador
el Consulado General de Ruman¡a,41.407716,2.129848,210,9,Manuela V zquez va aqu¡ para hablar con el c¢nsul rumano,Manuela V goes here to talk to the Romanian consul,Mozos,Investigador
Complejo Egara,41.553819,2.067577231,245,9,donde el inspector Llu‡anes coordina la operaci¢n de encontrar a Iliescu,Llucanes coordinates the operation to detain Iliescu from here,Mozos,Investigador
el peaje de Cardedeu-La Roca,41.612769,2.350091,246,9,el lugar elegido para detener a Iliescu mientras va hacia Barcelona,The planned stretch of road to capture Iliescu on,Mozos,Investigador
el  rea de servicio de Montcada,41.493044,2.181911,248,9,Lluc y Ca¤izares esperan a Iliescu aqu¡,Lluc y Canizares wait for Iliescu here,Mozos,Investigador
estaci¢n de tren de Bellaterra,41.500888,2.090515,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
estaci¢n de tren de Cerda¤ola,41.497197,2.115333,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
"la Vila Universitaria, UAB",41.49942944,2.097066559,13,1,"exhibe los carteles con la foto de Constantinu Iliescu, apartamentos de los estudiantes extranjeros","posters displayed here with Constantinu Iliescu's picture, student apartments",narrator,Investigador
Vila de Gr…cia,41.408949,2.151883,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
el cine Verdi,41.404345,2.157777,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
el metro de Fontana,41.402629,2.152726,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
el metro de Lesseps,41.405741,2.150406,13,1,exhibe los carteles con la foto de Constantinu Iliescu,posters displayed here with Constantinu Iliescu's picture,narrator,Investigador
la oficina de Casasaies,41.502894,2.107509,20,1,Casasies se reune con los estudiantes sobre la desaparicion de Iliescu,Meeting of Casasaies and Bellpuig with the students,"Casasaies, Bellpuig, Laura, Bru, Domenica",Investigador
la pensi¢n La Palomera,41.379453,2.168721,27,2,"lugar de residencia de Iliescu en Barcelona, pero solamente est  aqu¡ por dos d¡as en agosto","Iliescu's residence in Barcelona, only here two days in August before moving again",Iliescu,Sospechoso
